id,feature_type,created_at,updated_at,name,description,state_name,releases,parent_id,parent_name,owner_name,tags,start_date,end_date,Realizadores ativos de assinatura,ZhipChat (sample),Effort,Prioritization  score,Melhorar gerenciamento de campanha de Assinaturas priority,Melhorar gerenciamento de campanha de Assinaturas value,Alcançar Product Market Fit em Assinaturas priority,Alcançar Product Market Fit em Assinaturas value,Reduzir Churn de Receita Mensal para < 2% priority,Reduzir Churn de Receita Mensal para < 2% value,Aumentar engajamento e satisfação de realizadores de assinatura priority,Aumentar engajamento e satisfação de realizadores de assinatura value,"Recompensas (apoio, gestão e entrega) priority","Recompensas (apoio, gestão e entrega) value"
865701,component,2018-03-29 03:16:54 UTC,2019-06-26 07:59:42 UTC,Acompanhar o andamento da minha campanha,"",Icebox,,807812,Gerenciar um projeto,Thiago Maia,"",,,,,,,,,,,,,,,,
865703,feature,2018-03-29 03:18:09 UTC,2018-12-17 23:00:04 UTC,Tabela de aquisição mensal de Receita e Assinantes no painel de controle,"Como realizador, para saber como minha campanha está performando ao longo dos meses, quero ter acesso a uma tabela em meu dashboard com a evolução dos assinantes e da receita, separados por mês.",Done,(Default Release Group) 2T 2019,865701,Acompanhar o andamento da minha campanha,Thiago Maia,"",,,,,3,4,,,2,80,,,,,,
865704,feature,2018-03-29 03:18:47 UTC,2021-08-05 07:40:28 UTC,Conhecer o gênero dos seus assinantes (demografia),"",Icebox,,8924852,Gerenciar minha campanha de assinaturas,Thiago Maia,"",,,,,4,4,1,20,,,,,1,40,,
865705,feature,2018-03-29 03:19:46 UTC,2021-08-05 07:44:57 UTC,Ter um app no celular para gerenciar a campanha de assinaturas,"",Icebox,,8924852,Gerenciar minha campanha de assinaturas,Thiago Maia,"",,,,,100,1,2,60,1,100,,,3,100,,
865707,feature,2018-03-29 03:20:33 UTC,2021-08-05 07:44:57 UTC,Relatório diário de assinatura com informações mais completas,"",Icebox,,8924852,Gerenciar minha campanha de assinaturas,Thiago Maia,"",,,,,5,3,1,20,1,40,,,3,80,,
865710,component,2018-03-29 03:25:26 UTC,2021-08-05 07:48:00 UTC,Ajudar meus assinantes a gerenciar seus apoios,<p></p>,Icebox,,8923017,Catarse Assinaturas,Thiago Maia,"",,,,,,,,,,,,,,,,
865779,feature,2018-03-29 05:10:20 UTC,2021-08-05 07:35:52 UTC,Aumentar data de vencimento de boleto para 4 dias,"Como assinante de um projeto de Assinaturas no Catarse, para que eu tenha mais tempo para pagar meu boleto bancário, quero que o prazo de pagamento de um boleto seja estendido para 4 dias.",Done,(Default Release Group) 2T 2019,808330,Resgatar assinantes perdidos,Thiago Maia,"",,,,,,,,,,,2,100,,,,
865780,feature,2018-03-29 05:10:40 UTC,2021-08-05 07:35:52 UTC,Enviar email com lembrança de prazo de boleto para assinantes,"Como assinante de assinatura, para ser lembrado que meu boleto em aberto não foi pago, quero receber um email na véspera do vencimento de meu boleto, me lembrando de pagar o boleto.",Done,,808330,Resgatar assinantes perdidos,Thiago Maia,"",,,,,3,8,,,,,2,100,,,,
865782,feature,2018-03-29 05:14:07 UTC,2021-08-05 07:46:40 UTC,Saber telefone e redes sociais de seus assinantes,"",Icebox,,8924860,Interagir com minha base de assinantes,Thiago Maia,"",,,,,3,5,,,,,,,2,80,,
865783,feature,2018-03-29 05:15:17 UTC,2019-06-26 07:53:33 UTC,Segmentar envio de novidades para assinantes inativos e iniciados,"",Icebox,,2421471,Novidades (posts),Thiago Maia,"",,,,,5,6,1,20,1,20,1,60,2,80,,
865788,feature,2018-03-29 05:23:36 UTC,2019-06-26 07:53:33 UTC,Segmentar novidades por tempo de assinatura,"",Icebox,,2421471,Novidades (posts),Thiago Maia,"",,,,,8,4,1,20,,,,,2,60,,
865789,feature,2018-03-29 05:25:19 UTC,2021-08-05 07:44:57 UTC,Avisar na notificação de inativação que assinatura perdida não é dívida,"",Icebox,,8924852,Gerenciar minha campanha de assinaturas,Thiago Maia,"",,,,,1,10,,,,,,,,,,
875097,feature,2018-04-04 00:31:31 UTC,2018-12-17 23:00:04 UTC,Enviar novidades para assinantes de planos mais caros que o selecionado,"Como realizador, para evitar de ter que ficar enviando uma série de novidades para meus assinantes para falar a mesma coisa, quero que minha novidades de assinaturas enviadas, sejam enviadas também para as faixas de recompensa de valores acima do valor escolhido para envio da novidade.",Done,,807813,Comunicar com apoiadores,Thiago Maia,"",,,,,3,13,,,2,100,,,,,,
875098,feature,2018-04-04 00:35:17 UTC,2019-06-27 11:00:30 UTC,Ter a possibilidade de escolher um país ou estado como local do projeto (sem especificar a cidade),"",Icebox,,865701,Acompanhar o andamento da minha campanha,Thiago Maia,"",,,,,3,,,,,,,,1,20,,
875281,feature,2018-04-04 03:27:12 UTC,2021-08-05 07:44:57 UTC,Enviar email lembrando o assinante sobre validade do cartão de crédito,"",Icebox,,8924852,Gerenciar minha campanha de assinaturas,Thiago Maia,"",,,,,13,2,,,,,1,60,2,60,,
875810,feature,2018-04-04 09:29:44 UTC,2019-06-26 07:59:42 UTC,Ter acesso a bandeira e últimos dígitos do Cartão de seus assinantes no painel de controle,"",Done,,807812,Gerenciar um projeto,Thiago Maia,"",,,,,1,9,,,1,20,1,20,,,,
882508,feature,2018-04-06 07:58:02 UTC,2021-08-05 07:44:58 UTC,Tabela de evolução de assinaturas de uma campanha de Assinaturas (tabela Growth),"Como realizador, para saber como minha campanha está performando ao longo dos meses, quero ter acesso a um gráfico em meu dashboard com a evolução dos assinantes e da receita, separados por mês.",Backlog,(Default Release Group) 4T 2019,8924852,Gerenciar minha campanha de assinaturas,Thiago Maia,"",,,,,5,5,1,20,1,60,,,2,80,,
901749,feature,2018-04-13 03:42:12 UTC,2021-08-05 07:46:28 UTC,Poder contribuir pontualmente em projeto de Assinatura,"",Icebox,,8924870,Assinar uma campanha no Catarse,Thiago Maia,"",,,,,20,2,1,20,,,,,1,40,,
901750,feature,2018-04-13 03:42:57 UTC,2021-07-13 01:57:05 UTC,Criar vale Catarse (gerar crédito) para presentear pessoas,"",Icebox,,808180,Apoiar um projeto,Thiago Maia,"",,,,,6,3,,,,,,,1,20,,
901751,feature,2018-04-13 03:43:23 UTC,2018-04-13 03:47:10 UTC,Ordenar projetos no explore por data de lançamento,"",Icebox,,808339,Descobrir projetos,Thiago Maia,"",,,,,1,10,,,,,,,,,,
